passenger_id,flight_id
412043560,1001
412043561,1002
412043562,1003
412043563,1004
412043564,1001
412043565,1002
412043566,1003
412043567,1004
412043568,1001
412043569,1002
412043570,1003
412043571,1004
412043572,1001
412043573,1002
412043574,1003
412043575,1004
412043576,1001
412043577,1002
412043578,1003
412043579,1004
412043580,1001
412043581,1002
412043582,1003
412043583,1004
412043584,1001
412043585,1002
412043586,1003
412043587,1004
412043588,1001
412043589,1002
412043590,1003
412043591,1004
412043592,1001
412043593,1002
412043594,1003
412043595,1004
412043596,1001
412043597,1002
412043598,1003
412043599,1004
412043600,1001
412043601,1002
412043602,1003
412043603,1004
412043604,1001
412043605,1002
412043606,1003
412043607,1004
412043608,1001
412043609,1002
412043610,1003
412043611,1004
412043612,1001
412043613,1002
412043614,1003
412043615,1004
412043616,1001
412043617,1002
412043618,1003
412043619,1004
412043620,1001
412043621,1002
412043622,1003
412043623,1004
412043624,1001
412043625,1002
412043626,1003
412043627,1004
412043628,1001
412043629,1002
412043630,1003
412043631,1004
412043632,1001
412043633,1002
412043634,1003
412043635,1004
412043636,1001
412043637,1002
412043638,1003
412043639,1004
412043640,1001
412043641,1002
412043642,1003
412043643,1004
412043644,1001
412043645,1002
412043646,1003
412043647,1004
412043648,1001
412043649,1002
412043650,1003
412043651,1004
412043652,1001
412043653,1002
412043654,1003
412043655,1004
412043656,1001
412043657,1002
412043658,1003
412043659,1004
412043660,1001
412043661,1002
412043662,1003
412043663,1004
412043664,1001
412043665,1002
412043666,1003
412043667,1004
412043668,1001
412043669,1002
412043670,1003
412043671,1004
412043672,1001
412043673,1002
412043674,1003
412043675,1004
412043676,1001
412043677,1002
412043678,1003
412043679,1004
412043680,1001
412043681,1002
412043682,1003
412043683,1004
412043684,1001
412043685,1002
412043686,1003
412043687,1004
412043688,1001
412043689,1002
412043690,1003
412043691,1004
412043692,1001
412043693,1002
412043694,1003
412043695,1004
412043696,1001
412043697,1002
412043698,1003
412043699,1004
412043700,1001
412043701,1002
412043702,1003
412043703,1004
412043704,1001
412043705,1002
412043706,1003
412043707,1004
412043708,1001
412043709,1002
412043710,1003
412043711,1004
412043712,1001
412043713,1002
412043714,1003
412043715,1004
412043716,1001
412043717,1002
412043718,1003
412043719,1004
412043720,1001
412043721,1002
412043722,1003
412043723,1004
412043724,1001
412043725,1002
412043726,1003
412043727,1004
412043728,1001
412043729,1002
412043730,1003
412043731,1004
412043732,1001
412043733,1002
412043734,1003
412043735,1004
412043736,1001
412043737,1002
412043738,1003
412043739,1004
412043740,1001
412043741,1002
412043742,1003
412043743,1004
412043744,1001
412043745,1002
412043746,1003
412043747,1004
412043748,1001
412043749,1002
412043750,1003
412043751,1004
412043752,1001
412043753,1002
412043754,1003
412043755,1004
412043756,1001
412043757,1002
412043758,1003
412043759,1004
412043760,1001
412043761,1002
412043762,1003
412043763,1004
412043764,1001
412043765,1002
412043766,1003
412043767,1004
412043768,1001
412043769,1002
412043770,1003
412043771,1004
412043772,1001
412043773,1002
412043774,1003
412043775,1004
412043776,1001
412043777,1002
412043778,1003
412043779,1004
412043780,1001
412043781,1002
412043782,1003
412043783,1004
412043784,1001
412043785,1002
412043786,1003
412043787,1004
412043788,1001
412043789,1002
412043790,1003
412043791,1004
412043792,1001
412043793,1002
412043794,1003
412043795,1004
412043796,1001
412043797,1002
412043798,1003
412043799,1004
412043800,1001
412043801,1002
412043802,1003
412043803,1004
412043804,1001
412043805,1002
412043806,1003
412043807,1004
412043808,1001
412043809,1002
412043810,1003
412043811,1004
412043812,1001
412043813,1002
412043814,1003
412043815,1004
412043816,1001
412043817,1002
412043818,1003
412043819,1004
412043820,1001
412043821,1002
412043822,1003
412043823,1004
412043824,1001
412043825,1002
412043826,1003
412043827,1004
412043828,1001
412043829,1002
412043830,1003
412043831,1004
412043832,1001
412043833,1002
412043834,1003
412043835,1004
412043836,1001
412043837,1002
412043838,1003
412043839,1004
412043840,1001
412043841,1002
412043842,1003
412043843,1004
412043844,1001
412043845,1002
412043846,1003
412043847,1004
412043848,1001
412043849,1002
412043850,1003
412043851,1004
412043852,1001
412043853,1002
412043854,1003
412043855,1004
412043856,1001
412043857,1002
412043858,1003
412043859,1004
